OBJECTID,sovereignt,type,name,name_long,abbrev,formal_en,region_wb,LITERACY_RT_FEMALE,FEMALE_YEAR,LITERACY_RT_MALE,MALE_YEAR,TOTAL_YEAR_LBL
253,Netherlands,Country,Aruba,Aruba,Aruba,Aruba,Latin America & Caribbean,96.71977997,2010,96.94052887,2010,-2010
254,Afghanistan,Sovereign country,Afghanistan,Afghanistan,Afg.,Islamic State of Afghanistan,South Asia,17.61206245,2011,45.417099,2011,-2011
255,Angola,Sovereign country,Angola,Angola,Ang.,People's Republic of Angola,Sub-Saharan Africa,59.67142868,2013,82.32327271,2013,-2013
257,Albania,Sovereign country,Albania,Albania,Alb.,Republic of Albania,Europe & Central Asia,96.13607025,2012,98.35260773,2012,-2012
260,United Arab Emirates,Sovereign country,United Arab Emirates,United Arab Emirates,U.A.E.,United Arab Emirates,Middle East & North Africa,91.4747467,2005,89.48210144,2005,-2005
261,Argentina,Sovereign country,Argentina,Argentina,Arg.,Argentine Republic,Latin America & Caribbean,98.01186371,2013,97.9329834,2013,-2013
262,Armenia,Sovereign country,Armenia,Armenia,Arm.,Republic of Armenia,Europe & Central Asia,99.69035339,2011,99.80608368,2011,-2011
267,Antigua and Barbuda,Sovereign country,Antigua and Barb,Antigua and Barbuda,Ant.B.,Antigua and Barbuda,Latin America & Caribbean,99.41999817,2013,98.40000153,2013,-2013
270,Azerbaijan,Sovereign country,Azerbaijan,Azerbaijan,Aze.,Republic of Azerbaijan,Europe & Central Asia,99.7196579,2014,99.86201477,2014,-2014
271,Burundi,Sovereign country,Burundi,Burundi,Bur.,Republic of Burundi,Sub-Saharan Africa,84.59146881,2008,88.77618408,2008,-2008
273,Benin,Sovereign country,Benin,Benin,Benin,Republic of Benin,Sub-Saharan Africa,18.44291496,2006,40.61616898,2006,-2006
274,Burkina Faso,Sovereign country,Burkina Faso,Burkina Faso,B.F.,Burkina Faso,Sub-Saharan Africa,21.57956505,2007,36.68066788,2007,-2007
275,Bangladesh,Sovereign country,Bangladesh,Bangladesh,Bang.,People's Republic of Bangladesh,South Asia,56.22571182,2013,63.16476822,2013,-2013
276,Bulgaria,Sovereign country,Bulgaria,Bulgaria,Bulg.,Republic of Bulgaria,Europe & Central Asia,97.98389435,2011,98.74723053,2011,-2011
277,Bahrain,Sovereign country,Bahrain,Bahrain,Bahr.,Kingdom of Bahrain,Middle East & North Africa,91.61257935,2010,96.1402359,2010,-2010
279,Bosnia and Herzegovina,Sovereign country,Bosnia and Herz,Bosnia and Herzegovina,B.H.,Bosnia and Herzegovina,Europe & Central Asia,97.1044693,2013,99.5018692,2013,-2013
281,Belarus,Sovereign country,Belarus,Belarus,Bela.,Republic of Belarus,Europe & Central Asia,99.49399567,2009,99.76369476,2009,-2009
284,Bolivia,Sovereign country,Bolivia,Bolivia,Bolivia,Plurinational State of Bolivia,Latin America & Caribbean,91.87327576,2012,97.10704803,2012,-2012
285,Brazil,Sovereign country,Brazil,Brazil,Brazil,Federative Republic of Brazil,Latin America & Caribbean,91.76495361,2013,91.17796326,2013,-2013
287,Brunei,Sovereign country,Brunei,Brunei Darussalam,Brunei,Negara Brunei Darussalam,East Asia & Pacific,94.65248108,2011,97.42816162,2011,-2011
288,Bhutan,Sovereign country,Bhutan,Bhutan,Bhutan,Kingdom of Bhutan,South Asia,38.68065643,2005,65.04777527,2005,-2005
289,Botswana,Sovereign country,Botswana,Botswana,Bwa.,Republic of Botswana,Sub-Saharan Africa,87.73592377,2013,86.90899658,2013,-2013
290,Central African Republic,Sovereign country,Central African Rep,Central African Republic,C.A.R.,Central African Republic,Sub-Saharan Africa,24.35548973,2010,50.71271133,2010,-2010
293,Chile,Sovereign country,Chile,Chile,Chile,Republic of Chile,Latin America & Caribbean,96.53070831,2011,96.89878082,2011,-2011
294,China,Country,China,China,China,People's Republic of China,East Asia & Pacific,92.71123505,2010,97.47946167,2010,-2010
295,Ivory Coast,Sovereign country,Côte d'Ivoire,Côte d'Ivoire,I.C.,Republic of Ivory Coast,Sub-Saharan Africa,30.46172523,2012,51.59267044,2012,-2012
296,Cameroon,Sovereign country,Cameroon,Cameroon,Cam.,Republic of Cameroon,Sub-Saharan Africa,64.79949951,2010,78.32769012,2010,-2010
297,Democratic Republic of the Congo,Sovereign country,Dem Rep Congo,Democratic Republic of the Congo,D.R.C.,Democratic Republic of the Congo,Sub-Saharan Africa,62.91864395,2012,87.90839386,2012,-2012
298,Republic of Congo,Sovereign country,Congo,Republic of Congo,Rep. Congo,Republic of Congo,Sub-Saharan Africa,72.87705994,2011,86.43430328,2011,-2011
300,Colombia,Sovereign country,Colombia,Colombia,Col.,Republic of Colombia,Latin America & Caribbean,93.66713715,2011,93.48825073,2011,-2011
301,Comoros,Sovereign country,Comoros,Comoros,Com.,Union of the Comoros,Sub-Saharan Africa,72.0149231,2013,81.09709167,2013,-2013
302,Cape Verde,Sovereign country,Cape Verde,Cape Verde,C.Vd.,Republic of Cape Verde,Sub-Saharan Africa,80.49621582,2012,90.47450256,2012,-2012
303,Costa Rica,Sovereign country,Costa Rica,Costa Rica,C.R.,Republic of Costa Rica,Latin America & Caribbean,97.50041199,2011,97.30633545,2011,-2011
304,Cuba,Sovereign country,Cuba,Cuba,Cuba,Republic of Cuba,Latin America & Caribbean,99.79988098,2012,99.70605469,2012,-2012
306,United Kingdom,Dependency,Cayman Is,Cayman Islands,Cym. Is.,Cayman Islands,Latin America & Caribbean,99.02147675,2007,98.72239685,2007,-2007
308,Cyprus,Sovereign country,Cyprus,Cyprus,Cyp.,Republic of Cyprus,Europe & Central Asia,98.1162262,2011,99.2861557,2011,-2011
309,Czech Republic,Sovereign country,Czech Rep,Czech Republic,Cz. Rep.,Czech Republic,Europe & Central Asia,99,2011,99,2011,-2011
314,Dominican Republic,Sovereign country,Dominican Rep,Dominican Republic,Dom. Rep.,Dominican Republic,Latin America & Caribbean,91.25051117,2013,90.45812988,2013,-2013
315,Algeria,Sovereign country,Algeria,Algeria,Alg.,People's Democratic Republic of Algeria,Middle East & North Africa,63.9187851,2006,81.28404236,2006,-2006
316,Ecuador,Sovereign country,Ecuador,Ecuador,Ecu.,Republic of Ecuador,Latin America & Caribbean,92.21808624,2013,94.42572784,2013,-2013
317,Egypt,Sovereign country,Egypt,Egypt,Egypt,Arab Republic of Egypt,Middle East & North Africa,67.17986298,2013,82.63334656,2013,-2013
318,Eritrea,Sovereign country,Eritrea,Eritrea,Erit.,State of Eritrea,Sub-Saharan Africa,62.67086029,2013,80.88067627,2013,-2013
319,Spain,Sovereign country,Spain,Spain,Sp.,Kingdom of Spain,Europe & Central Asia,97.4405365,2013,98.74874878,2013,-2013
320,Estonia,Sovereign country,Estonia,Estonia,Est.,Republic of Estonia,Europe & Central Asia,99.87418365,2011,99.84986115,2011,-2011
321,Ethiopia,Sovereign country,Ethiopia,Ethiopia,Eth.,Federal Democratic Republic of Ethiopia,Sub-Saharan Africa,28.92163658,2007,49.13465881,2007,-2007
328,Gabon,Sovereign country,Gabon,Gabon,Gabon,Gabonese Republic,Sub-Saharan Africa,79.87897491,2012,84.87329865,2012,-2012
330,Georgia,Sovereign country,Georgia,Georgia,Geo.,Georgia,Europe & Central Asia,99.70989227,2013,99.78958893,2013,-2013
332,Ghana,Sovereign country,Ghana,Ghana,Ghana,Republic of Ghana,Sub-Saharan Africa,65.29468536,2010,78.3489151,2010,-2010
333,Guinea,Sovereign country,Guinea,Guinea,Gin.,Republic of Guinea,Sub-Saharan Africa,12.19197083,2010,36.78977966,2010,-2010
334,Gambia,Sovereign country,Gambia,The Gambia,Gambia,Republic of the Gambia,Sub-Saharan Africa,44.61611938,2013,62.2297287,2013,-2013
335,Guinea Bissau,Sovereign country,Guinea-Bissau,Guinea-Bissau,GnB.,Republic of Guinea-Bissau,Sub-Saharan Africa,45.37319946,2013,70.48983765,2013,-2013
336,Equatorial Guinea,Sovereign country,Eq Guinea,Equatorial Guinea,Eq. G.,Republic of Equatorial Guinea,Sub-Saharan Africa,92.09928894,2013,97.26004791,2013,-2013
337,Greece,Sovereign country,Greece,Greece,Greece,Hellenic Republic,Europe & Central Asia,96.54810333,2013,98.43782043,2013,-2013
340,Guatemala,Sovereign country,Guatemala,Guatemala,Guat.,Republic of Guatemala,Latin America & Caribbean,72.12758636,2013,82.72067261,2013,-2013
342,Guyana,Sovereign country,Guyana,Guyana,Guy.,Co-operative Republic of Guyana,Latin America & Caribbean,87.25197601,2009,82.43656158,2009,-2009
345,Honduras,Sovereign country,Honduras,Honduras,Hond.,Republic of Honduras,Latin America & Caribbean,87.02598572,2014,87.39594269,2014,-2014
346,Croatia,Sovereign country,Croatia,Croatia,Cro.,Republic of Croatia,Europe & Central Asia,98.66591644,2011,99.62970734,2011,-2011
347,Haiti,Sovereign country,Haiti,Haiti,Haiti,Republic of Haiti,Latin America & Caribbean,44.59945297,2006,53.35504913,2006,-2006
348,Hungary,Sovereign country,Hungary,Hungary,Hun.,Republic of Hungary,Europe & Central Asia,98.95755768,2013,99.15116119,2013,-2013
349,Indonesia,Sovereign country,Indonesia,Indonesia,Indo.,Republic of Indonesia,East Asia & Pacific,90.06869507,2011,95.59109497,2011,-2011
351,India,Sovereign country,India,India,India,Republic of India,South Asia,59.27731705,2011,78.87722778,2011,-2011
355,Iran,Sovereign country,Iran,Iran,Iran,Islamic Republic of Iran,Middle East & North Africa,78.4162674,2012,88.87981415,2012,-2012
356,Iraq,Sovereign country,Iraq,Iraq,Iraq,Republic of Iraq,Middle East & North Africa,72.71492004,2013,85.79550171,2013,-2013
358,Israel,Sovereign country,Israel,Israel,Isr.,State of Israel,Middle East & North Africa,96.8,2011,98.7,2011,-2011
359,Italy,Sovereign country,Italy,Italy,Italy,Italian Republic,Europe & Central Asia,98.86656189,2013,99.29029083,2013,-2013
360,Jamaica,Sovereign country,Jamaica,Jamaica,Jam.,Jamaica,Latin America & Caribbean,92.46753693,2013,83.09259033,2013,-2013
362,Jordan,Sovereign country,Jordan,Jordan,Jord.,Hashemite Kingdom of Jordan,Middle East & North Africa,97.37200928,2012,98.44456482,2012,-2012
365,Kazakhstan,Sovereign country,Kazakhstan,Kazakhstan,Kaz.,Republic of Kazakhstan,Europe & Central Asia,99.68428802,2009,99.78625488,2009,-2009
366,Kenya,Sovereign country,Kenya,Kenya,Ken.,Republic of Kenya,Sub-Saharan Africa,66.86312103,2007,78.07914734,2007,-2007
367,Kyrgyzstan,Sovereign country,Kyrgyzstan,Kyrgyzstan,Kgz.,Kyrgyz Republic,Europe & Central Asia,98.98121643,2009,99.5161438,2009,-2009
368,Cambodia,Sovereign country,Cambodia,Cambodia,Camb.,Kingdom of Cambodia,East Asia & Pacific,65.93125153,2009,82.75240326,2009,-2009
372,Kosovo,Sovereign country,Kosovo,Kosovo,Kos.,Republic of Kosovo,Europe & Central Asia,87.5,2003,96.6,2003,-2003
373,Kuwait,Sovereign country,Kuwait,Kuwait,Kwt.,State of Kuwait,Middle East & North Africa,94.30115509,2013,96.35418701,2013,-2013
374,Laos,Sovereign country,Lao PDR,Lao PDR,Laos,Lao People's Democratic Republic,East Asia & Pacific,63.22698593,2005,82.45174408,2005,-2005
375,Lebanon,Sovereign country,Lebanon,Lebanon,Leb.,Lebanese Republic,Middle East & North Africa,85.96778107,2007,93.3789444,2007,-2007
376,Liberia,Sovereign country,Liberia,Liberia,Liberia,Republic of Liberia,Sub-Saharan Africa,27.03490639,2007,60.77480698,2007,-2007
377,Libya,Sovereign country,Libya,Libya,Libya,Libya,Middle East & North Africa,84.34719849,2013,96.2826004,2013,-2013
380,Sri Lanka,Sovereign country,Sri Lanka,Sri Lanka,Sri L.,Democratic Socialist Republic of Sri Lanka,South Asia,89.9586792,2010,92.57846832,2010,-2010
381,Lesotho,Sovereign country,Lesotho,Lesotho,Les.,Kingdom of Lesotho,Sub-Saharan Africa,84.96395874,2009,65.5219574,2009,-2009
382,Lithuania,Sovereign country,Lithuania,Lithuania,Lith.,Republic of Lithuania,Europe & Central Asia,99.83323669,2011,99.79418945,2011,-2011
384,Latvia,Sovereign country,Latvia,Latvia,Lat.,Republic of Latvia,Europe & Central Asia,99.90791321,2011,99.88109589,2011,-2011
385,China,Country,Macao,Macao,Mac.,"Macao Special Administrative Region, PRC",East Asia & Pacific,93.73190308,2011,97.75128937,2011,-2011
387,Morocco,Sovereign country,Morocco,Morocco,Mor.,Kingdom of Morocco,Middle East & North Africa,57.63999176,2011,76.07357788,2011,-2011
389,Moldova,Sovereign country,Moldova,Moldova,Mda.,Republic of Moldova,Europe & Central Asia,98.76879883,2013,99.62226105,2013,-2013
390,Madagascar,Sovereign country,Madagascar,Madagascar,Mad.,Republic of Madagascar,Sub-Saharan Africa,61.64140701,2009,67.41730499,2009,-2009
391,Maldives,Sovereign country,Maldives,Maldives,Mald.,Republic of Maldives,South Asia,98.42984772,2006,98.36568451,2006,-2006
392,Mexico,Sovereign country,Mexico,Mexico,Mex.,United Mexican States,Latin America & Caribbean,92.90393829,2013,95.11210632,2013,-2013
394,Macedonia,Sovereign country,Macedonia,Macedonia,Mkd.,Former Yugoslav Republic of Macedonia,Europe & Central Asia,96.50801086,2013,98.77073669,2013,-2013
395,Mali,Sovereign country,Mali,Mali,Mali,Republic of Mali,Sub-Saharan Africa,24.63679314,2011,43.27392197,2011,-2011
396,Malta,Sovereign country,Malta,Malta,Malta,Republic of Malta,Middle East & North Africa,94.79004669,2011,91.79264832,2011,-2011
397,Myanmar,Sovereign country,Myanmar,Myanmar,Myan.,Republic of the Union of Myanmar,East Asia & Pacific,90.70095825,2013,95.04705048,2013,-2013
398,Montenegro,Sovereign country,Montenegro,Montenegro,Mont.,Montenegro,Europe & Central Asia,97.50050354,2011,99.43120575,2011,-2011
399,Mongolia,Sovereign country,Mongolia,Mongolia,Mong.,Mongolia,East Asia & Pacific,98.33663177,2010,98.17469788,2010,-2010
401,Mozambique,Sovereign country,Mozambique,Mozambique,Moz.,Republic of Mozambique,Sub-Saharan Africa,36.45228195,2009,67.35470581,2009,-2009
402,Mauritania,Sovereign country,Mauritania,Mauritania,Mrt.,Islamic Republic of Mauritania,Sub-Saharan Africa,35.34843445,2007,57.40437698,2007,-2007
404,Mauritius,Sovereign country,Mauritius,Mauritius,Mus.,Republic of Mauritius,Sub-Saharan Africa,86.65807343,2011,91.95172119,2011,-2011
405,Malawi,Sovereign country,Malawi,Malawi,Mal.,Republic of Malawi,Sub-Saharan Africa,51.25196457,2010,72.09765625,2010,-2010
406,Malaysia,Sovereign country,Malaysia,Malaysia,Malay.,Malaysia,East Asia & Pacific,90.74768066,2010,95.43374634,2010,-2010
407,Namibia,Sovereign country,Namibia,Namibia,Nam.,Republic of Namibia,Sub-Saharan Africa,78.35097504,2007,74.32835388,2007,-2007
408,France,Dependency,New Caledonia,New Caledonia,New C.,New Caledonia,East Asia & Pacific,96.24153137,2013,97.09604645,2013,-2013
409,Niger,Sovereign country,Niger,Niger,Niger,Republic of Niger,Sub-Saharan Africa,8.939735413,2012,23.24747276,2012,-2012
411,Nigeria,Sovereign country,Nigeria,Nigeria,Nigeria,Federal Republic of Nigeria,Sub-Saharan Africa,41.3867569,2008,61.25405502,2008,-2008
412,Nicaragua,Sovereign country,Nicaragua,Nicaragua,Nic.,Republic of Nicaragua,Latin America & Caribbean,77.91603851,2005,78.09642792,2005,-2005
416,Nepal,Sovereign country,Nepal,Nepal,Nepal,Nepal,South Asia,48.83758926,2011,71.70838165,2011,-2011
419,Oman,Sovereign country,Oman,Oman,Oman,Sultanate of Oman,Middle East & North Africa,88.92670441,2014,94.99073792,2014,-2014
420,Pakistan,Sovereign country,Pakistan,Pakistan,Pak.,Islamic Republic of Pakistan,South Asia,43.07188797,2012,69.85821533,2012,-2012
421,Panama,Sovereign country,Panama,Panama,Pan.,Republic of Panama,Latin America & Caribbean,93.48526001,2010,94.70740509,2010,-2010
423,Peru,Sovereign country,Peru,Peru,Peru,Republic of Peru,Latin America & Caribbean,90.66883087,2012,96.95012665,2012,-2012
424,Philippines,Sovereign country,Philippines,Philippines,Phil.,Republic of the Philippines,East Asia & Pacific,95.82563019,2008,95.01213074,2008,-2008
425,Palau,Sovereign country,Palau,Palau,Palau,Republic of Palau,East Asia & Pacific,99.55269623,2013,99.4981842,2013,-2013
426,Papua New Guinea,Sovereign country,Papua New Guinea,Papua New Guinea,P.N.G.,Independent State of Papua New Guinea,East Asia & Pacific,61.10467148,2013,65.52606201,2013,-2013
427,Poland,Sovereign country,Poland,Poland,Pol.,Republic of Poland,Europe & Central Asia,99.63420105,2013,99.90297699,2013,-2013
428,United States of America,Dependency,Puerto Rico,Puerto Rico,P.R.,Commonwealth of Puerto Rico,Latin America & Caribbean,92.53015137,2010,91.33078003,2010,-2010
429,North Korea,Sovereign country,Dem Rep Korea,Dem. Rep. Korea,N.K.,Democratic People's Republic of Korea,East Asia & Pacific,99.997612,2008,99.9989624,2008,-2008
430,Portugal,Sovereign country,Portugal,Portugal,Port.,Portuguese Republic,Europe & Central Asia,92.86077118,2011,96.2855835,2011,-2011
431,Paraguay,Sovereign country,Paraguay,Paraguay,Para.,Republic of Paraguay,Latin America & Caribbean,93.73454285,2014,95.54606628,2014,-2014
432,Israel,Disputed,Palestine,Palestine,Pal.,West Bank and Gaza,Middle East & North Africa,94.40729523,2014,98.40237427,2014,-2014
434,Qatar,Sovereign country,Qatar,Qatar,Qatar,State of Qatar,Middle East & North Africa,97.55826569,2014,97.79370117,2014,-2014
435,Romania,Sovereign country,Romania,Romania,Rom.,Romania,Europe & Central Asia,98.20520782,2011,99.0342865,2011,-2011
436,Russia,Sovereign country,Russia,Russian Federation,Rus.,Russian Federation,Europe & Central Asia,99.64777374,2010,99.72830963,2010,-2010
437,Rwanda,Sovereign country,Rwanda,Rwanda,Rwa.,Republic of Rwanda,Sub-Saharan Africa,64.66448212,2012,72.4451828,2012,-2012
439,Saudi Arabia,Sovereign country,Saudi Arabia,Saudi Arabia,Saud.,Kingdom of Saudi Arabia,Middle East & North Africa,91.36925507,2013,96.53143311,2013,-2013
440,Sudan,Sovereign country,Sudan,Sudan,Sudan,Republic of the Sudan,Sub-Saharan Africa,66.40171051,2013,82.21340179,2013,-2013
441,South Sudan,Sovereign country,S Sudan,South Sudan,S. Sud.,Republic of South Sudan,Sub-Saharan Africa,19.18637466,2008,34.83693314,2008,-2008
442,Senegal,Sovereign country,Senegal,Senegal,Sen.,Republic of Senegal,Sub-Saharan Africa,33.59659576,2013,52.80447006,2013,-2013
443,Singapore,Sovereign country,Singapore,Singapore,Sing.,Republic of Singapore,East Asia & Pacific,94.63796997,2013,98.53053284,2013,-2013
446,Solomon Islands,Sovereign country,Solomon Is,Solomon Islands,S. Is., ,East Asia & Pacific,79.2,2009,88.9,2009,-2009
447,Sierra Leone,Sovereign country,Sierra Leone,Sierra Leone,S.L.,Republic of Sierra Leone,Sub-Saharan Africa,34.95338058,2013,56.58755875,2013,-2013
448,El Salvador,Sovereign country,El Salvador,El Salvador,El. S.,Republic of El Salvador,Latin America & Caribbean,84.67035675,2013,89.23501587,2013,-2013
452,Republic of Serbia,Sovereign country,Serbia,Serbia,Serb.,Republic of Serbia,Europe & Central Asia,96.74911499,2011,99.26464081,2011,-2011
453,Sao Tome and Principe,Sovereign country,São Tomé and Principe,São Tomé and Principe,S.T.P.,Democratic Republic of São Tomé and Principe,Sub-Saharan Africa,60.08302689,2008,80.33023834,2008,-2008
454,Suriname,Sovereign country,Suriname,Suriname,Sur.,Republic of Suriname,Latin America & Caribbean,94.00354004,2010,95.36478424,2010,-2010
456,Slovenia,Sovereign country,Slovenia,Slovenia,Slo.,Republic of Slovenia,Europe & Central Asia,99.68612671,2013,99.72627258,2013,-2013
458,Swaziland,Sovereign country,Swaziland,Swaziland,Swz.,Kingdom of Swaziland,Sub-Saharan Africa,82.44754791,2010,83.90014648,2010,-2010
460,Seychelles,Sovereign country,Seychelles,Seychelles,Syc.,Republic of Seychelles,Sub-Saharan Africa,94.44898224,2010,93.46391296,2010,-2010
461,Syria,Sovereign country,Syria,Syria,Syria,Syrian Arab Republic,Middle East & North Africa,79.78739166,2013,91.09709167,2013,-2013
463,Chad,Sovereign country,Chad,Chad,Chad,Republic of Chad,Sub-Saharan Africa,29.13209915,2013,47.42475128,2013,-2013
464,Togo,Sovereign country,Togo,Togo,Togo,Togolese Republic,Sub-Saharan Africa,47.97738647,2011,74.0568161,2011,-2011
465,Thailand,Sovereign country,Thailand,Thailand,Thai.,Kingdom of Thailand,East Asia & Pacific,96.42705536,2010,96.43502045,2010,-2010
466,Tajikistan,Sovereign country,Tajikistan,Tajikistan,Tjk.,Republic of Tajikistan,Europe & Central Asia,99.68498993,2013,99.81626129,2013,-2013
467,Turkmenistan,Sovereign country,Turkmenistan,Turkmenistan,Turkm.,Turkmenistan,Europe & Central Asia,99.56388855,2013,99.74542999,2013,-2013
468,East Timor,Sovereign country,Timor-Leste,Timor-Leste,T.L.,Democratic Republic of Timor-Leste,East Asia & Pacific,52.95899963,2010,63.59179306,2010,-2010
469,Tonga,Sovereign country,Tonga,Tonga,Tongo,Kingdom of Tonga,East Asia & Pacific,99.43421936,2011,99.33509827,2011,-2011
470,Trinidad and Tobago,Sovereign country,Trinidad and Tobago,Trinidad and Tobago,Tr.T.,Republic of Trinidad and Tobago,Latin America & Caribbean,98.54068756,2013,99.20010376,2013,-2013
471,Tunisia,Sovereign country,Tunisia,Tunisia,Tun.,Republic of Tunisia,Middle East & North Africa,71.73416138,2011,87.75504303,2011,-2011
472,Turkey,Sovereign country,Turkey,Turkey,Tur.,Republic of Turkey,Europe & Central Asia,92.13807678,2013,98.40137482,2013,-2013
473,Taiwan,Sovereign country,Taiwan,Taiwan,Taiwan, ,East Asia & Pacific,97.3,2014,99.7,2014,-2014
474,United Republic of Tanzania,Sovereign country,Tanzania,Tanzania,Tanz.,United Republic of Tanzania,Sub-Saharan Africa,74.38887787,2012,84.06991577,2012,-2012
475,Uganda,Sovereign country,Uganda,Uganda,Uga.,Republic of Uganda,Sub-Saharan Africa,61.97043228,2012,79.12303925,2012,-2012
476,Ukraine,Sovereign country,Ukraine,Ukraine,Ukr.,Ukraine,Europe & Central Asia,99.70195007,2013,99.79145813,2013,-2013
477,Uruguay,Sovereign country,Uruguay,Uruguay,Ury.,Oriental Republic of Uruguay,Latin America & Caribbean,98.63642883,2013,98.06342316,2013,-2013
479,Uzbekistan,Sovereign country,Uzbekistan,Uzbekistan,Uzb.,Republic of Uzbekistan,Europe & Central Asia,99.35903168,2013,99.6831665,2013,-2013
482,Venezuela,Sovereign country,Venezuela,Venezuela,Ven.,Bolivarian Republic of Venezuela,Latin America & Caribbean,95.02888489,2011,94.50231934,2011,-2011
485,Vietnam,Sovereign country,Vietnam,Vietnam,Viet.,Socialist Republic of Vietnam,East Asia & Pacific,91.37909698,2009,95.7853241,2009,-2009
486,Vanuatu,Sovereign country,Vanuatu,Vanuatu,Van.,Republic of Vanuatu,East Asia & Pacific,82.53379822,2013,85.4850235,2013,-2013
488,Samoa,Sovereign country,Samoa,Samoa,Samoa,Independent State of Samoa,East Asia & Pacific,99.0695343,2011,98.88191986,2011,-2011
489,Yemen,Sovereign country,Yemen,Yemen,Yem.,Republic of Yemen,Middle East & North Africa,51.82162094,2013,83.47048187,2013,-2013
490,South Africa,Sovereign country,South Africa,South Africa,S.Af.,Republic of South Africa,Sub-Saharan Africa,92.58625031,2012,94.96372223,2012,-2012
491,Zambia,Sovereign country,Zambia,Zambia,Zambia,Republic of Zambia,Sub-Saharan Africa,51.78696823,2007,71.94743347,2007,-2007
492,Zimbabwe,Sovereign country,Zimbabwe,Zimbabwe,Zimb.,Republic of Zimbabwe,Sub-Saharan Africa,80.06565857,2011,87.76480865,2011,-2011
